username,tweet_text
"Shelbé Aiko 💕♓️","RT @NBCThisisUs: This one is for all of us. Huge congrats to our cast and crew on their incredible Emmy nominations! #ThisIsUs https://t.co…"
"aalyta4192","RT @NBCThisisUs: This one is for all of us. Huge congrats to our cast and crew on their incredible Emmy nominations! #ThisIsUs https://t.co…"
"Aubéri","RT @SterlingKBrown: THANK YOU @TelevisionAcad 🙏🏿 #Emmys #ThisIsUs https://t.co/7fa6WW8xH4"
"Mad Max","RT @Dan_Fogelman: Sending congrats to our entire #ThisIsUs fam on the Emmy nods. The individuals and the collective!  

Dusting off the tux…"
"j e n n ☮","RT @SterlingKBrown: THANK YOU @TelevisionAcad 🙏🏿 #Emmys #ThisIsUs https://t.co/7fa6WW8xH4"
"Melanie Ripple","RT @NBCThisisUs: The first day back on the #ThisIsUs set got us feeling some kind of way... #InMyFeelingsChallenge #DoTheShiggy @SterlingKB…"
"asena","RT @SterlingKBrown: Gotta #DoTheShiggy with the Mrs! #ThisIsUs #InMyFeelingsChallenge https://t.co/wLBhlTn6Vg"
"Nicole Massabrook","RT @IBTimes: #ThisIsUs star Mandy Moore wasn't the only one snubbed by the #Emmys today https://t.co/jJ8q67anlb"
"Denise Naughton","RT @SterlingKBrown: THANK YOU @TelevisionAcad 🙏🏿 #Emmys #ThisIsUs https://t.co/7fa6WW8xH4"
"jessica","RT @enews: Rebecca's reaction to Jack's dead body. Rebecca telling Kevin that Randall was ""just easier." Rebecca IN ALL OF SEASON 2. #ThisI…"
